"","Año.biológico","Desembarques.t.","Porcentaje.descarte","Captura.descartada.t.","Captura.total.t."
"1","1996-97",350755,"0%",0,350755
"2","1997-98",77701,"0%",0,77701
"3","1998-99",442110,"0%",0,442110
"4","1999-00",56441,"0%",0,56441
"5","2000-01",13986,"4%",559,14545
"6","2001-02",226307,"4%",9052,235359
"7","2002-03",259572,"4%",10383,269955
"8","2003-04",345847,"4%",13834,359681
"9","2004-05",415290,"4%",16612,431902
"10","2005-06",316159,"4%",12646,328805
"11","2006-07",614773,"4%",24591,639364
"12","2007-08",395911,"4%",15836,411747
"13","2008-09",348914,"4%",13957,362871
"14","2009-10",299548,"4%",11982,311530
"15","2010-11",161306,"4%",6452,167758
"16","2011-12",64116,"4%",2565,66681
"17","2012-13",57910,"4%",2316,60226
"18","2013-14",56524,"4%",2261,58785
"19","2014-15",54919,"4%",2197,57116
"20","2015-16",70367,"4%",2815,73181
"21","2016-17",49016,"4%",1961,50977
"22","2017-18",66757,"1,4%",935,67692
"23","2018-19",135804,"2,1%",2852,138656
"24","2019-20",157646,"1,8%",2838,160484
"25","2020-21",205398,"2%",4108,209506
