"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1997,0,0.3,0,0.3,0,100,350755,0.01
"2",1998,0,0.3,0,0.3,0,100,77701,0.01
"3",1999,0,0.3,0,0.3,0,100,442110,0.01
"4",2000,370054,0.3,0,0.3,0,100,56441,0.01
"5",2001,412103,0.3,0,0.3,0,100,14545,0.01
"6",2002,1494267,0.3,0,0.3,112323,100,235359,0.01
"7",2003,250295,0.3,0,0.3,0,100,269955,0.01
"8",2004,1289818,0.3,0,0.3,153150,100,359681,0.01
"9",2005,931140,0.3,0,0.3,637223,100,431902,0.01
"10",2006,785840,0.3,2062538,0.3,0,100,328805,0.01
"11",2007,897777,0.3,1500000,0.3,255016,100,639364,0.01
"12",2008,1040062,0.3,0,0.3,313432,100,411747,0.01
"13",2009,184774,0.3,1874556,0.3,73983,100,362871,0.01
"14",2010,17550,0.3,323000,0.3,77613,100,311530,0.01
"15",2011,25797,0.3,250000,0.3,109348,100,167758,0.01
"16",2012,100020,0.3,174000,0.3,50772,100,66681,0.01
"17",2013,73551,0.3,83755,0.3,0,100,60226,0.01
"18",2014,82996,0.3,137374,0.3,0,100,58785,0.01
"19",2015,120727,0.3,0,0.3,0,100,57116,0.01
"20",2016,218422,0.3,501740,0.3,0,100,73181,0.01
"21",2017,84188,0.3,490994,0.3,0,100,50977,0.01
"22",2018,347160,0.3,745055,0.3,0,100,67692,0.01
"23",2019,605670,0.3,786931,0.3,0,100,138656,0.01
"24",2020,569463,0.3,1005239,0.3,0,100,160484,0.01
"25",2021,516374,0.3,1338007,0.3,0,100,209506,0.01
