"","Año","$BD_{sept}$","$BD_{marzo}$","$BD_{julio}$","$BT_{sept}$","$BT_{marzo}$","$BT_{julio}$","$R_{sept}$","$R_{marzo}$","$R_{julio}$","$F_{sept}$","$F_{marzo}$","$F_{julio}$"
"1","1996/97","446310","449330","443792","1536600","1544300","1532630","36162","36327","36114.4","0.975","0.963","0.989"
"2","1997/98","244750","246830","243421","373710","376310","372225","43906","44137","43856.4","0.894","0.882","0.906"
"3","1998/99","270970","274410","269947","649390","659290","648361","22502","22999","22500","1.55","1.52","1.567"
"4","1999/00","261880","268420","261093","479180","489730","478819","33972","34607","34069.8","0.332","0.322","0.335"
"5","2000/01","306350","313470","306495","625390","637170","626269","60820","61647","60974.3","0.057","0.056","0.058"
"6","2001/02","522520","532230","523559","736610","746790","737871","42634","42404","42662.7","0.539","0.527","0.54"
"7","2002/03","742540","751530","744117","1783000","1794500","1785330","77583","77704","77626.6","0.342","0.336","0.342"
"8","2003/04","919090","925060","920598","1634700","1640700","1637000","75495","75394","75552.8","0.673","0.666","0.676"
"9","2004/05","790960","792710","792302","1706900","1704800","1709420","98882","98343","98996.8","0.761","0.756","0.764"
"10","2005/06","848470","847350","850165","1653700","1657200","1656100","116880","117750","116943","0.561","0.559","0.563"
"11","2006/07","891020","894650","892636","1531900","1539100","1533900","66686","67258","66686.5","1.038","1.03","1.041"
"12","2007/08","627730","633110","629190","1069600","1074100","1071210","46078","45869","46064.3","0.911","0.899","0.912"
"13","2008/09","395000","397670","395986","786840","786660","787690","45950","45408","45877.1","1.455","1.436","1.457"
"14","2009/10","205460","204780","205889","430210","429780","430634","24867","24924","24814","2.868","2.865","2.878"
"15","2010/11","87765","87492","87969.4","227340","227210","227531","14463","14507","14434.1","3.3","3.295","3.317"
"16","2011/12","70217","70070","70405.9","144490","144100","144770","13306","13250","13317.2","1.401","1.398","1.408"
"17","2012/13","78720","78341","78958.5","161880","161480","162233","10078","10083","10087.5","1.029","1.03","1.033"
"18","2013/14","103590","103220","103902","205310","204780","205737","11574","11559","11582.8","0.706","0.706","0.708"
"19","2014/15","129640","129170","129992","212760","211870","213265","12448","12369","12468.5","0.569","0.569","0.57"
"20","2015/16","147040","146480","147467","287730","286960","288424","19921","19948","19956","0.599","0.587","0.601"
"21","2016/17","221370","221930","222044","441450","444140","442739","26048","26318","26122","0.277","0.281","0.278"
"22","2017/18","272390","274050","273533","403680","407650","406733","32831","33685","33513.8","0.339","0.334","0.338"
"23","2018/19","334890","340830","339853","552200","558780","561985","51775","51784","53182.2","0.411","0.402","0.407"
"24","2019/20","466470","473920","479011","816150","835630","838744","61395","66653","63379.1","0.414","0.405","0.404"
"25","2020/21","630820","686790","626493","928130","918000","923891","26675","25359","25914.4","0.376","0.345","0.395"
