"","Años","$F/F_{RMS_{sept}}$","$F/F_{RMS_{marzo}}$","$F/F_{RMS_{julio}}$","$BD/BD_{RMS_{sept}}$","$BD/BD_{RMS_{marzo}}$","$BD/BD_{RMS_{julio}}$"
"1","1996/97","2.183","2.17","2.203","0.925","0.922","0.918"
"2","1997/98","2.003","1.988","2.019","0.507","0.507","0.503"
"3","1998/99","3.47","3.426","3.492","0.561","0.563","0.558"
"4","1999/00","0.743","0.726","0.747","0.543","0.551","0.54"
"5","2000/01","0.129","0.126","0.129","0.635","0.643","0.634"
"6","2001/02","1.207","1.187","1.204","1.083","1.092","1.083"
"7","2002/03","0.765","0.758","0.763","1.538","1.542","1.539"
"8","2003/04","1.507","1.502","1.506","1.904","1.899","1.904"
"9","2004/05","1.704","1.705","1.703","1.639","1.627","1.639"
"10","2005/06","1.256","1.261","1.255","1.758","1.739","1.758"
"11","2006/07","2.323","2.321","2.319","1.846","1.836","1.846"
"12","2007/08","2.04","2.028","2.033","1.3","1.299","1.301"
"13","2008/09","3.257","3.238","3.246","0.818","0.816","0.819"
"14","2009/10","6.422","6.458","6.412","0.426","0.42","0.426"
"15","2010/11","7.388","7.429","7.39","0.182","0.18","0.182"
"16","2011/12","3.138","3.152","3.136","0.145","0.144","0.146"
"17","2012/13","2.305","2.322","2.302","0.163","0.161","0.163"
"18","2013/14","1.581","1.592","1.577","0.215","0.212","0.215"
"19","2014/15","1.274","1.284","1.271","0.269","0.265","0.269"
"20","2015/16","1.342","1.323","1.339","0.305","0.301","0.305"
"21","2016/17","0.62","0.633","0.619","0.459","0.455","0.459"
"22","2017/18","0.758","0.752","0.754","0.564","0.562","0.566"
"23","2018/19","0.921","0.906","0.906","0.694","0.7","0.703"
"24","2019/20","0.927","0.913","0.901","0.966","0.973","0.991"
"25","2020/21","0.842","0.778","0.88","1.307","1.41","1.296"
